pattern,numerator,denominator,power,time frame,occurred
"(1,)",7.0,7.0,0.025232054368863263,5,7.0
"(1,)",7.0,7.0,0.025232054368863263,10,7.0
"(3,)",10.0,10.0,0.00644787995757028,5,13.0
"(3,)",9.0,10.0,0.04747709621621593,10,13.0
"(5,)",7.0,7.0,0.025232054368863263,10,14.0
"(7,)",9.0,10.0,0.04747709621621593,10,20.0
"(1, 3)",7.0,7.0,0.025232054368863263,5,7.0
"(1, 3)",7.0,7.0,0.025232054368863263,10,7.0
"(1, 7)",7.0,7.0,0.025232054368863263,5,7.0
"(1, 7)",7.0,7.0,0.025232054368863263,10,7.0
"(3, 1)",6.0,6.0,0.03952199104714706,5,6.0
"(3, 1)",6.0,6.0,0.03952199104714706,10,6.0
"(3, 3)",9.0,9.0,0.01017780870835625,5,10.0
"(3, 5)",6.0,6.0,0.03952199104714706,10,8.0
"(3, 7)",9.0,10.0,0.04747709621621593,5,12.0
"(5, 3)",7.0,7.0,0.025232054368863263,5,9.0
"(5, 3)",7.0,7.0,0.025232054368863263,10,9.0
"(5, 7)",7.0,7.0,0.025232054368863263,10,14.0
"(7, 1)",6.0,6.0,0.03952199104714706,5,6.0
"(7, 1)",6.0,6.0,0.03952199104714706,10,6.0
"(7, 3)",9.0,9.0,0.01017780870835625,5,12.0
"(7, 5)",6.0,6.0,0.03952199104714706,10,13.0
"(1, 3, 3)",7.0,7.0,0.025232054368863263,5,7.0
"(1, 3, 7)",7.0,7.0,0.025232054368863263,5,7.0
"(1, 7, 3)",7.0,7.0,0.025232054368863263,5,7.0
"(1, 7, 7)",7.0,7.0,0.025232054368863263,5,7.0
"(3, 1, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(3, 1, 3)",6.0,6.0,0.03952199104714706,10,6.0
"(3, 1, 7)",6.0,6.0,0.03952199104714706,5,6.0
"(3, 1, 7)",6.0,6.0,0.03952199104714706,10,6.0
"(3, 3, 3)",8.0,8.0,0.016043844452498648,5,8.0
"(3, 3, 5)",6.0,6.0,0.03952199104714706,1,6.0
"(3, 5, 3)",6.0,6.0,0.03952199104714706,5,7.0
"(3, 5, 3)",6.0,6.0,0.03952199104714706,10,7.0
"(3, 5, 7)",6.0,6.0,0.03952199104714706,10,8.0
"(3, 7, 3)",8.0,8.0,0.016043844452498648,5,9.0
"(3, 7, 5)",7.0,7.0,0.025232054368863263,1,7.0
"(3, 7, 7)",10.0,11.0,0.03247577593790317,1,11.0
"(5, 3, 3)",7.0,7.0,0.025232054368863263,5,8.0
"(5, 3, 7)",7.0,7.0,0.025232054368863263,5,9.0
"(5, 7, 3)",7.0,7.0,0.025232054368863263,5,9.0
"(7, 1, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(7, 1, 3)",6.0,6.0,0.03952199104714706,10,6.0
"(7, 1, 7)",6.0,6.0,0.03952199104714706,5,6.0
"(7, 1, 7)",6.0,6.0,0.03952199104714706,10,6.0
"(7, 3, 3)",8.0,8.0,0.016043844452498648,5,9.0
"(7, 5, 3)",6.0,6.0,0.03952199104714706,5,8.0
"(7, 5, 3)",6.0,6.0,0.03952199104714706,10,8.0
"(7, 5, 7)",6.0,6.0,0.03952199104714706,10,13.0
"(7, 7, 3)",9.0,10.0,0.04747709621621593,1,11.0
"(7, 7, 3)",8.0,8.0,0.016043844452498648,5,11.0
"(1, 3, 3, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(1, 3, 3, 3)",6.0,6.0,0.03952199104714706,10,6.0
"(1, 3, 3, 7)",6.0,6.0,0.03952199104714706,10,7.0
"(1, 3, 7, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(1, 3, 7, 3)",6.0,6.0,0.03952199104714706,10,6.0
"(1, 3, 7, 7)",6.0,6.0,0.03952199104714706,10,7.0
"(1, 7, 3, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(1, 7, 3, 3)",6.0,6.0,0.03952199104714706,10,6.0
"(1, 7, 3, 7)",6.0,6.0,0.03952199104714706,10,7.0
"(1, 7, 7, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(1, 7, 7, 3)",6.0,6.0,0.03952199104714706,10,6.0
"(1, 7, 7, 7)",6.0,6.0,0.03952199104714706,10,7.0
"(3, 1, 3, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(3, 1, 3, 7)",6.0,6.0,0.03952199104714706,5,6.0
"(3, 1, 7, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(3, 1, 7, 7)",6.0,6.0,0.03952199104714706,5,6.0
"(3, 3, 3, 3)",7.0,7.0,0.025232054368863263,5,7.0
"(3, 3, 7, 3)",7.0,7.0,0.025232054368863263,5,7.0
"(3, 3, 7, 5)",6.0,6.0,0.03952199104714706,1,6.0
"(3, 5, 3, 3)",6.0,6.0,0.03952199104714706,5,7.0
"(3, 5, 3, 7)",6.0,6.0,0.03952199104714706,5,7.0
"(3, 5, 7, 3)",6.0,6.0,0.03952199104714706,5,7.0
"(3, 7, 3, 3)",7.0,7.0,0.025232054368863263,5,8.0
"(3, 7, 7, 3)",7.0,7.0,0.025232054368863263,5,8.0
"(3, 7, 7, 5)",7.0,7.0,0.025232054368863263,1,7.0
"(3, 7, 7, 7)",9.0,10.0,0.04747709621621593,1,11.0
"(5, 3, 3, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(5, 3, 3, 3)",6.0,6.0,0.03952199104714706,10,6.0
"(5, 3, 3, 7)",6.0,6.0,0.03952199104714706,10,7.0
"(5, 3, 7, 3)",6.0,6.0,0.03952199104714706,5,7.0
"(5, 3, 7, 3)",6.0,6.0,0.03952199104714706,10,7.0
"(5, 3, 7, 7)",6.0,6.0,0.03952199104714706,10,8.0
"(5, 7, 3, 3)",6.0,6.0,0.03952199104714706,5,6.0
"(5, 7, 3, 3)",6.0,6.0,0.03952199104714706,10,6.0
