pattern,numerator,denominator,power,time frame,occurred
"(1,)",29.0,33.0,0.0011420673799719988,10,33.0
"(1,)",33.0,33.0,1.708267089671249e-07,15,33.0
"(1,)",33.0,33.0,1.708267089671249e-07,20,33.0
"(1,)",33.0,33.0,1.708267089671249e-07,30,33.0
"(1,)",33.0,33.0,1.708267089671249e-07,60,33.0
"(2,)",27.0,32.0,0.005865820491189636,5,33.0
"(2,)",29.0,30.0,1.2852073522385798e-05,10,33.0
"(2,)",25.0,25.0,6.681827637683693e-06,15,33.0
"(2,)",20.0,21.0,0.0005763002184760189,20,33.0
"(2,)",19.0,20.0,0.0008729293960723854,30,33.0
"(2,)",7.0,7.0,0.025232054368863263,60,33.0
"(3,)",50.0,65.0,0.010718259404129604,5,66.0
"(3,)",58.0,63.0,1.0731991495825675e-07,10,66.0
"(3,)",58.0,58.0,1.8050691787281348e-12,15,66.0
"(3,)",53.0,54.0,3.722861350114707e-10,20,66.0
"(3,)",52.0,53.0,5.783546369173004e-10,30,66.0
"(3,)",40.0,40.0,6.906506717719195e-09,60,66.0
"(4,)",5.0,26.0,0.03413193866787481,20,34.0
"(4,)",0.0,17.0,0.0002613427077912203,30,34.0
"(5,)",33.0,33.0,1.708267089671249e-07,60,67.0
"(6,)",7.0,7.0,0.025232054368863263,60,67.0
"(7,)",68.0,90.0,0.007298745007705847,10,100.0
"(7,)",66.0,85.0,0.0025667069584045677,15,100.0
"(7,)",58.0,80.0,0.044505713502615486,20,100.0
"(7,)",52.0,70.0,0.028270257080397435,30,100.0
"(7,)",40.0,40.0,6.906506717719195e-09,60,100.0
"(1, 1)",28.0,31.0,0.0004964430835578693,10,31.0
"(1, 1)",31.0,31.0,4.2720932128340573e-07,15,31.0
"(1, 1)",31.0,31.0,4.2720932128340573e-07,20,31.0
"(1, 1)",31.0,31.0,4.2720932128340573e-07,30,31.0
"(1, 1)",31.0,31.0,4.2720932128340573e-07,60,31.0
"(1, 3)",30.0,33.0,0.00023684156885891874,10,33.0
"(1, 3)",33.0,33.0,1.708267089671249e-07,15,33.0
"(1, 3)",33.0,33.0,1.708267089671249e-07,20,33.0
"(1, 3)",33.0,33.0,1.708267089671249e-07,30,33.0
"(1, 3)",33.0,33.0,1.708267089671249e-07,60,33.0
"(1, 5)",28.0,31.0,0.0004964430835578693,10,31.0
"(1, 5)",31.0,31.0,4.2720932128340573e-07,15,31.0
"(1, 5)",31.0,31.0,4.2720932128340573e-07,20,31.0
"(1, 5)",31.0,31.0,4.2720932128340573e-07,30,31.0
"(1, 5)",31.0,31.0,4.2720932128340573e-07,60,31.0
"(1, 7)",30.0,33.0,0.00023684156885891874,10,33.0
"(1, 7)",33.0,33.0,1.708267089671249e-07,15,33.0
"(1, 7)",33.0,33.0,1.708267089671249e-07,20,33.0
"(1, 7)",33.0,33.0,1.708267089671249e-07,30,33.0
"(1, 7)",33.0,33.0,1.708267089671249e-07,60,33.0
"(2, 2)",23.0,27.0,0.008358557521513427,5,27.0
"(2, 2)",25.0,25.0,6.681827637683693e-06,10,27.0
"(2, 2)",20.0,20.0,6.608502560386678e-05,15,27.0
"(2, 2)",17.0,17.0,0.0002613427077912203,20,27.0
"(2, 2)",17.0,17.0,0.0002613427077912203,30,27.0
"(2, 3)",24.0,28.0,0.006060490122952731,5,28.0
"(2, 3)",26.0,26.0,4.225255037305369e-06,10,28.0
"(2, 3)",21.0,21.0,4.178906403852619e-05,15,28.0
"(2, 3)",18.0,18.0,0.0001652640476289369,20,28.0
"(2, 3)",18.0,18.0,0.0001652640476289369,30,28.0
"(2, 3)",6.0,6.0,0.03952199104714706,60,28.0
"(2, 6)",26.0,31.0,0.007967000846991644,5,31.0
"(2, 6)",27.0,28.0,3.017629607516112e-05,10,31.0
"(2, 6)",22.0,23.0,0.00024987652684583796,15,31.0
"(2, 6)",18.0,19.0,0.0013196634166337535,20,31.0
"(2, 6)",17.0,19.0,0.008030615157419435,30,31.0
"(2, 7)",27.0,32.0,0.005865820491189636,5,32.0
"(2, 7)",28.0,29.0,1.9703142961019753e-05,10,32.0
"(2, 7)",23.0,24.0,0.00016415330393624824,15,32.0
"(2, 7)",19.0,20.0,0.0008729293960723854,20,32.0
"(2, 7)",18.0,20.0,0.005563636611966736,30,32.0
