pattern,numerator,denominator,power,time frame,occurred
"(1, 2)",192.0,279.0,0.026764832249409076,180,280.0
"(1, 2)",193.0,279.0,0.01980499247361707,240,280.0
"(1, 2)",199.0,279.0,0.0023548789609811422,300,280.0
"(1, 2)",183.0,263.0,0.016319129262413357,2880,280.0
"(1, 6)",192.0,279.0,0.026764832249409076,180,280.0
"(1, 6)",193.0,279.0,0.01980499247361707,240,280.0
"(1, 6)",199.0,279.0,0.0023548789609811422,300,280.0
"(1, 6)",183.0,263.0,0.016319129262413357,2880,280.0
"(2, 1)",192.0,279.0,0.026764832249409076,240,279.0
"(2, 1)",197.0,279.0,0.005099351159861629,300,279.0
"(2, 1)",180.0,262.0,0.03364286169745629,2880,279.0
"(2, 4)",32.0,42.0,0.043291340129779414,300,42.0
"(2, 4)",37.0,42.0,0.00022316144149583621,1440,42.0
"(2, 5)",222.0,321.0,0.01373984195676248,240,321.0
"(2, 5)",229.0,321.0,0.0011800382308162914,300,321.0
"(2, 5)",219.0,321.0,0.03219872827156204,1440,321.0
"(2, 5)",210.0,304.0,0.017237404668786788,2880,321.0
"(3, 4)",32.0,42.0,0.043291340129779414,300,42.0
"(3, 4)",37.0,42.0,0.00022316144149583621,1440,42.0
"(4, 2)",10.0,42.0,0.04329134012977942,10,42.0
"(4, 2)",35.0,42.0,0.0028719124579642376,1440,42.0
"(4, 3)",10.0,42.0,0.04329134012977942,10,42.0
"(4, 3)",35.0,42.0,0.0028719124579642376,1440,42.0
"(5, 2)",218.0,321.0,0.04169048825021706,240,322.0
"(5, 2)",229.0,321.0,0.0011800382308162914,300,322.0
"(5, 2)",212.0,305.0,0.011376319705658399,2880,322.0
"(6, 1)",192.0,279.0,0.026764832249409076,240,279.0
"(6, 1)",197.0,279.0,0.005099351159861629,300,279.0
"(6, 1)",180.0,262.0,0.03364286169745629,2880,279.0
"(1, 1, 2)",135.0,193.0,0.02680291985918897,240,194.0
"(1, 1, 2)",136.0,193.0,0.01859047297407458,300,194.0
"(1, 1, 2)",125.0,180.0,0.04292943978326744,2880,194.0
"(1, 1, 6)",135.0,193.0,0.02680291985918897,240,194.0
"(1, 1, 6)",136.0,193.0,0.01859047297407458,300,194.0
"(1, 1, 6)",125.0,180.0,0.04292943978326744,2880,194.0
"(1, 2, 1)",58.0,80.0,0.044505713502615486,240,80.0
"(1, 2, 1)",59.0,80.0,0.026035286032954946,300,80.0
"(1, 2, 2)",138.0,199.0,0.03752965772958374,300,200.0
"(1, 2, 2)",131.0,188.0,0.03393574193509506,2880,200.0
"(1, 2, 3)",193.0,279.0,0.01980499247361707,240,280.0
"(1, 2, 3)",197.0,279.0,0.005099351159861629,300,280.0
"(1, 2, 3)",183.0,263.0,0.016319129262413357,2880,280.0
"(1, 2, 5)",58.0,80.0,0.044505713502615486,240,80.0
"(1, 2, 5)",59.0,80.0,0.026035286032954946,300,80.0
"(1, 2, 6)",138.0,199.0,0.03752965772958374,300,200.0
"(1, 2, 6)",131.0,188.0,0.03393574193509506,2880,200.0
"(1, 2, 7)",193.0,279.0,0.01980499247361707,240,280.0
"(1, 2, 7)",197.0,279.0,0.005099351159861629,300,280.0
"(1, 2, 7)",183.0,263.0,0.016319129262413357,2880,280.0
"(1, 3, 2)",270.0,392.0,0.01009304725734885,240,394.0
"(1, 3, 2)",274.0,392.0,0.0029503312045873285,300,394.0
"(1, 3, 2)",256.0,368.0,0.005703936467200946,2880,394.0
"(1, 3, 6)",270.0,392.0,0.01009304725734885,240,394.0
"(1, 3, 6)",274.0,392.0,0.0029503312045873285,300,394.0
"(1, 3, 6)",256.0,368.0,0.005703936467200946,2880,394.0
"(1, 5, 2)",135.0,193.0,0.02680291985918897,240,194.0
"(1, 5, 2)",136.0,193.0,0.01859047297407458,300,194.0
"(1, 5, 2)",125.0,180.0,0.04292943978326744,2880,194.0
"(1, 5, 6)",135.0,193.0,0.02680291985918897,240,194.0
