# Random GBM
pattern,numerator,denominator,power,time frame,occurred
"(1,)",32.0,1650.0,1.9141367253507647e-269,1,1650.0
"(1,)",167.0,1640.0,1.209147690730946e-133,5,1650.0
"(1,)",311.0,1614.0,3.599498692155557e-53,10,1650.0
"(1,)",293.0,1598.0,1.2160756987522981e-58,15,1650.0
"(1,)",395.0,1579.0,1.2001876051871763e-23,20,1650.0
"(1,)",410.0,1444.0,9.547910155780872e-12,30,1650.0
"(2,)",10.0,1618.0,8.450621039856616e-300,1,1618.0
"(2,)",28.0,1618.0,2.805169242091842e-269,5,1618.0
"(2,)",29.0,1609.0,4.706985139256083e-266,10,1618.0
"(2,)",127.0,1578.0,2.1285050605311734e-154,15,1618.0
"(2,)",85.0,1528.0,7.697267077084548e-184,20,1618.0
"(2,)",100.0,1451.0,1.6245645277903018e-156,30,1618.0
"(2,)",114.0,943.0,1.0531081240071703e-65,60,1618.0
"(3,)",42.0,3268.0,0.0,1,3268.0
"(3,)",195.0,3258.0,0.0,5,3268.0
"(3,)",340.0,3223.0,2.542208607523432e-252,10,3268.0
"(3,)",420.0,3176.0,1.0972469073632167e-194,15,3268.0
"(3,)",480.0,3107.0,4.4901818041123687e-153,20,3268.0
"(3,)",510.0,2895.0,2.1684246524075555e-113,30,3268.0
"(3,)",471.0,1701.0,1.2206991899462122e-15,60,3268.0
"(4,)",0.0,1682.0,0.0,1,1682.0
"(4,)",0.0,1682.0,0.0,5,1682.0
"(4,)",0.0,1682.0,0.0,10,1682.0
"(4,)",0.0,1669.0,0.0,15,1682.0
"(4,)",0.0,1653.0,0.0,20,1682.0
"(4,)",0.0,1620.0,2e-323,30,1682.0
"(4,)",9.0,1479.0,1.8599471560457715e-274,60,1682.0
"(5,)",32.0,3332.0,0.0,1,3332.0
"(5,)",167.0,3322.0,0.0,5,3332.0
"(5,)",311.0,3296.0,2.1893454117660482e-284,10,3332.0
"(5,)",293.0,3267.0,1.7550662862216917e-293,15,3332.0
"(5,)",395.0,3232.0,1.474107328851221e-217,20,3332.0
