v,vw,o,c,h,l,t,n
400,22.03,22.03,22.03,22.03,22.03,1674742320000,1
679,22.0313,22.03,22.03,22.03,22.03,1674743400000,9
221,22.1243,22.12,22.12,22.12,22.12,1674744000000,6
232,22.0798,22.07,22.07,22.07,22.07,1674745080000,5
155,22.1152,22.115,22.115,22.115,22.115,1674745260000,2
229,22.0809,22.0601,22.0601,22.0601,22.0601,1674745800000,5
200,22.115,22.115,22.115,22.115,22.115,1674745920000,1
1041,22.0905,22.09,22.09,22.09,22.09,1674746700000,7
501,22.074,22.09,22.05,22.09,22.05,1674746820000,5
3084,22.07,22.07,22.07,22.07,22.07,1674748140000,2
150,22.07,22.07,22.07,22.07,22.07,1674750120000,1
400,22.06,22.06,22.06,22.06,22.06,1674751140000,1
650,22.0766,22.08,22.06,22.08,22.06,1674751440000,4
500,22.06,22.06,22.06,22.06,22.06,1674751620000,1
502,22.0931,22.07,22.1,22.1,22.07,1674751920000,7
500,22.0866,22.0866,22.0866,22.0866,22.0866,1674752220000,1
500,22.1,22.1,22.1,22.1,22.1,1674752340000,1
115,22.0913,22.09,22.09,22.09,22.09,1674752640000,2
500,22.09,22.09,22.09,22.09,22.09,1674753840000,1
100,22.05,22.05,22.05,22.05,22.05,1674755100000,1
540,22.06,22.06,22.06,22.06,22.06,1674755520000,3
101,22.05,22.05,22.05,22.05,22.05,1674755700000,2
204,22.0502,22.05,22.05,22.05,22.05,1674755880000,3
771,22.0481,22.0481,22.0481,22.0481,22.0481,1674756000000,2
200,22.05,22.05,22.05,22.05,22.05,1674756060000,2
100,22.05,22.05,22.05,22.05,22.05,1674756300000,1
321,22.0407,22.0401,22.04,22.0401,22.04,1674757140000,5
2000,22.0401,22.0401,22.0401,22.0401,22.0401,1674758400000,1
124,22.065,22.065,22.065,22.065,22.065,1674758520000,3
100,22.07,22.07,22.07,22.07,22.07,1674758700000,1
4171,22.1308,22.09,22.14,22.14,22.09,1674758760000,16
12065,22.0401,22.0401,22.0401,22.0401,22.0401,1674760260000,1
110,22.1331,22.14,22.14,22.14,22.14,1674760380000,3
301,22.1497,22.1499,22.1499,22.1499,22.1499,1674761940000,2
100,22.095,22.095,22.095,22.095,22.095,1674762300000,1
100,22.095,22.095,22.095,22.095,22.095,1674762660000,1
299,22.1171,22.095,22.14,22.14,22.095,1674763440000,4
226,22.095,22.095,22.095,22.095,22.095,1674763680000,1
101,22.1328,22.1335,22.1335,22.1335,22.1335,1674764040000,2
125,22.1499,22.1499,22.1499,22.1499,22.1499,1674765360000,1
386,22.0702,22.0701,22.0701,22.0701,22.0701,1674766200000,2
1705,22.0912,22.1,22.09,22.1,22.09,1674766740000,8
368,22.0602,22.06,22.06,22.06,22.06,1674829800000,2
257,22.0867,22.08,22.08,22.08,22.08,1674830400000,5
259,22.1499,22.15,22.15,22.15,22.15,1674832020000,4
105,22.13,22.13,22.13,22.13,22.13,1674832740000,3
681,22.1591,22.1595,22.1595,22.1595,22.1595,1674832920000,2
416,22.1356,22.15,22.13,22.15,22.13,1674833520000,4
100,22.0987,22.0987,22.0987,22.0987,22.0987,1674834360000,1
569,22.09,22.09,22.09,22.09,22.09,1674834420000,2
100,22.0987,22.0987,22.0987,22.0987,22.0987,1674834540000,1
100,22.062,22.062,22.062,22.062,22.062,1674835080000,1
323,22.0861,22.08,22.09,22.09,22.08,1674835500000,4
171,22.1236,22.13,22.13,22.13,22.13,1674835620000,4
449,22.0949,22.095,22.095,22.095,22.095,1674836340000,3
100,22.11,22.11,22.11,22.11,22.11,1674836460000,1
100,22.12,22.12,22.12,22.12,22.12,1674837420000,1
175,22.11,22.11,22.11,22.11,22.11,1674838020000,1
200,22.1223,22.1223,22.1223,22.1223,22.1223,1674838080000,1
100,22.12,22.12,22.12,22.12,22.12,1674838320000,1
2003,22.1136,22.1136,22.1136,22.1136,22.1136,1674838500000,3
112,22.1307,22.13,22.13,22.13,22.13,1674839160000,2
100,22.11,22.11,22.11,22.11,22.11,1674839460000,1
202,22.12,22.12,22.12,22.12,22.12,1674839700000,3
100,22.12,22.12,22.12,22.12,22.12,1674840000000,1
101,22.12,22.12,22.12,22.12,22.12,1674840420000,2
100,22.12,22.12,22.12,22.12,22.12,1674840720000,1
377,22.12,22.12,22.12,22.12,22.12,1674840960000,3
100,22.12,22.12,22.12,22.12,22.12,1674841200000,1
1100,22.12,22.12,22.12,22.12,22.12,1674841320000,7
1000,22.1101,22.1101,22.1101,22.1101,22.1101,1674841380000,1
100,22.12,22.12,22.12,22.12,22.12,1674841500000,1
100,22.12,22.12,22.12,22.12,22.12,1674841800000,1
102,22.1202,22.12,22.12,22.12,22.12,1674842100000,2
100,22.12,22.12,22.12,22.12,22.12,1674842400000,1
